Component1,Component2,CompletedItem
B.F. Sword,B.F. Sword,Deathblade
B.F. Sword,Recurve Bow,Giant Slayer
B.F. Sword,Needlessly Large Rod,Hextech Gunblade
B.F. Sword,Tear of the Goddess,Spear of Shojin
B.F. Sword,Chain Vest,Edge of Night
B.F. Sword,Negatron Cloak,Bloodthirster
B.F. Sword,Giants Belt,Steraks Gage
B.F. Sword,Sparring Gloves,Infinity Edge
Recurve Bow,Recurve Bow,Red Buff
Recurve Bow,Needlessly Large Rod,Guinsoos Rageblade
Recurve Bow,Tear of the Goddess,Void Staff
Recurve Bow,Chain Vest,Titans Resolve
Recurve Bow,Negatron Cloak,Krakens Fury
Recurve Bow,Giants Belt,Nashors Tooth
Recurve Bow,Sparring Gloves,Last Whisper
Needlessly Large Rod,Needlessly Large Rod,Rabadons Deathcap
Needlessly Large Rod,Tear of the Goddess,Archangels Staff
Needlessly Large Rod,Chain Vest,Crownguard
Needlessly Large Rod,Negatron Cloak,Ionic Spark
Needlessly Large Rod,Giants Belt,Morellonomicon
Needlessly Large Rod,Sparring Gloves,Jeweled Gauntlet
Tear of the Goddess,Tear of the Goddess,Blue Buff
Tear of the Goddess,Chain Vest,Protectors Vow
Tear of the Goddess,Negatron Cloak,Adaptive Helm
Tear of the Goddess,Giants Belt,Spirit Visage
Tear of the Goddess,Sparring Gloves,Hand of Justice
Chain Vest,Chain Vest,Bramble Vest
Chain Vest,Negatron Cloak,Gargoyle Stoneplate
Chain Vest,Giants Belt,Sunfire Cape
Chain Vest,Sparring Gloves,Steadfast Heart
Negatron Cloak,Negatron Cloak,Dragons Claw
Negatron Cloak,Giants Belt,Evenshroud
Negatron Cloak,Sparring Gloves,Quicksilver
Giants Belt,Giants Belt,Warmogs Armor
Giants Belt,Sparring Gloves,Strikers Flail
Sparring Gloves,Sparring Gloves,Thiefs Gloves