Trait Name,Tier-1,Tier-2,Tier-3,Tier-4,Tier-5,Tier-6,Tier-7,Tier-8,Tier-9,Tier-10
Bastion,1,2,3,,,,,,,
Battle Academia,1,2,3,,,,,,,
Crystal Gambit,1,2,3,4,,,,,,
Duelist,1,2,3,,,,,,,
Edgelord,1,2,3,,,,,,,
Executioner,1,2,3,3,,,,,,
Heavyweight,1,2,3,,,,,,,
Juggernaut,1,2,3,,,,,,,
Luchador,1,3,,,,,,,,
Mentor,1,3,,,,,,,,
Mighty Mech,1,2,3,,,,,,,
Monster Trainer,5,,,,,,,,,
Prodigy,1,2,2,3,,,,,,
Protector,1,2,3,,,,,,,
Rogue Captain,5,,,,,,,,,
Rosemother,5,,,,,,,,,
Sniper,1,2,2,3,,,,,,
Sorcerer,1,2,3,,,,,,,
Soul Fighter,1,2,2,3,,,,,,
Stance Master,5,,,,,,,,,
Star Guardian,1,2,2,2,3,3,3,3,3,4
Strategist,1,2,3,3,,,,,,
Supreme Cells,1,2,3,,,,,,,
The Champ,5,,,,,,,,,
The Crew,1,2,3,,,,,,,
Wraith,1,2,3,,,,,,,